日期,销量
2022-06-17,1193
2022-06-18,1175
2022-06-19,1201
2022-06-20,1239
2022-06-21,1202
2022-06-22,1180
2022-06-23,1254
2022-06-24,1201
2022-06-25,1221
2022-06-26,1279
2022-06-27,1201
2022-06-28,1242
2022-06-29,1198
2022-06-30,1203
2022-07-01,1206
2022-07-02,1224
2022-07-03,1276
2022-07-04,1302
2022-07-05,1254
2022-07-06,1238
2022-07-07,1268
2022-07-08,1263
2022-07-09,1339
2022-07-10,1299
2022-07-11,1351
2022-07-12,1261
2022-07-13,1291
2022-07-14,1341
2022-07-15,1302
2022-07-16,1281
2022-07-17,1362
2022-07-18,1306
2022-07-19,1376
2022-07-20,1385
2022-07-21,1334
2022-07-22,1406
2022-07-23,1346
2022-07-24,1365
2022-07-25,1355
2022-07-26,1397
2022-07-27,1406
2022-07-28,1352
2022-07-29,1352
2022-07-30,1381
2022-07-31,1373
2022-08-01,1407
2022-08-02,1462
2022-08-03,1434
2022-08-04,1468
2022-08-05,1479
2022-08-06,1431
2022-08-07,1425
2022-08-08,1469
2022-08-09,1499
2022-08-10,1485
2022-08-11,1417
2022-08-12,1502
2022-08-13,1479
2022-08-14,1492
2022-08-15,1488
2022-08-16,1522
2022-08-17,1468
2022-08-18,1515
2022-08-19,1453
2022-08-20,1487
2022-08-21,1534
2022-08-22,1524
2022-08-23,1566
2022-08-24,1524
2022-08-25,1483
2022-08-26,1493
2022-08-27,1521
2022-08-28,1558
2022-08-29,1595
2022-08-30,1574
2022-08-31,1583
2022-09-01,1592
2022-09-02,1575
2022-09-03,1527
2022-09-04,1547
2022-09-05,1540
2022-09-06,1551
2022-09-07,1607
2022-09-08,1571
2022-09-09,1613
2022-09-10,1570
2022-09-11,1635
2022-09-12,1587
2022-09-13,1608
2022-09-14,1648
2022-09-15,1646
2022-09-16,1680
2022-09-17,1641
2022-09-18,1602
2022-09-19,1645
2022-09-20,1692
2022-09-21,1691
2022-09-22,1650
2022-09-23,1700
2022-09-24,1633
2022-09-25,1665
2022-09-26,1719
2022-09-27,1736
2022-09-28,1728
2022-09-29,1708
2022-09-30,1700
2022-10-01,1697
2022-10-02,1710
2022-10-03,1692
2022-10-04,1696
2022-10-05,1766
2022-10-06,1735
2022-10-07,1740
2022-10-08,1748
2022-10-09,1714
2022-10-10,1710
2022-10-11,1784
2022-10-12,1783
2022-10-13,1822
2022-10-14,1746
2022-10-15,1808
2022-10-16,1801
2022-10-17,1833
2022-10-18,1817
2022-10-19,1812
2022-10-20,1814
2022-10-21,1806
2022-10-22,1821
2022-10-23,1862
2022-10-24,1834
2022-10-25,1869
2022-10-26,1863
2022-10-27,1808
2022-10-28,1830
2022-10-29,1888
2022-10-30,1906
2022-10-31,1824
2022-11-01,1871
2022-11-02,1880
2022-11-03,1912
2022-11-04,1924
2022-11-05,1900
2022-11-06,1936
2022-11-07,1906
2022-11-08,1931
2022-11-09,1935
2022-11-10,1903
2022-11-11,1923
2022-11-12,1912
2022-11-13,1964
2022-11-14,1947
2022-11-15,1925
2022-11-16,1981
2022-11-17,1962
2022-11-18,1999
2022-11-19,2002
2022-11-20,2006
2022-11-21,1978
2022-11-22,1945
2022-11-23,1976
2022-11-24,1973
2022-11-25,2013
2022-11-26,2016
2022-11-27,2035
2022-11-28,1960
2022-11-29,2046
2022-11-30,1974
2022-12-01,2050
2022-12-02,2045
2022-12-03,2016
2022-12-04,2080
2022-12-05,2057
2022-12-06,2094
2022-12-07,2012
2022-12-08,2085
2022-12-09,2010
2022-12-10,2112
2022-12-11,2048
2022-12-12,2098
2022-12-13,2048
2022-12-14,2103
2022-12-15,2082
2022-12-16,2072
2022-12-17,2066
2022-12-18,2126
2022-12-19,2129
2022-12-20,2133
2022-12-21,2071
2022-12-22,2142
2022-12-23,2121
2022-12-24,2106
2022-12-25,2119
2022-12-26,2132
2022-12-27,2188
2022-12-28,2182
2022-12-29,2127
2022-12-30,2192
2022-12-31,2213
